"Percentage of Households Making $10,000 to $14,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $15,000 to $19,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $20,000 to $24,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $25,000 to $29,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $30,000 to $34,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $35,000 to $39,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $40,000 to $44,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $45,000 to $49,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $50,000 to $59,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $60,000 to $74,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $75,000 to $99,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $100,000 to $124,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $125,000 to $149,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $150,000 to $199,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
"Percentage of Households Making $200,000 or More-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
Non-Institutionalized Population (for Health Insurance Coverage) (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - Insurance Rates
Percent without Health Insurance (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - Insurance Rates
 Percent with Health Insurance Coverage (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - Insurance Rates
Column16,
Percent with Private Health Insurance Coverage (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - Private Insurance
Current Smokers (Persons 18 Years and Over),2017 County Health Rankings Georgia 
Drinking Adults (Persons 18 Years and Over),2017 County Health Rankings Georgia 
Percent of Persons with Limited Access to Healthy Foods,2017 County Health Rankings Georgia 
Percent Persons with Access to Exercise Opportunities,2017 County Health Rankings Georgia 
Percent Obese Persons (20 Years and Over),2017 County Health Rankings Georgia 
percent Physically Inactive Persons (20 Years and Over),2017 County Health Rankings Georgia 
Percent Children Eligible for Free Lunch (Persons < 18 Years),2017 County Health Rankings Georgia 
Column17,
Column18,
"Rate of limited-service restaurants per 100,000 people in 2017.",2017 County Health Rankings Georgia 
Percent Hispanic or Latino (ACS 2014-2018),American Community Suvey (ACS) - 2018 - 5 year Estimate - RaceHousing
Median income (dollars) (ACS 2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
Percent of INDIVIDUALS WITH INCOME BELOW 150 percent of poverty level (ACS 2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate - Income
Percent of Population 25 years and over - Less than 9th grade - (ACS 2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
"Percent of Population 25 years and over - 9th to 12th grade, no diploma - (ACS 2018-2014)",American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
Percent of Population 25 years and over - High school graduate (includes equivalency) - ACS (2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
"Percent of Population 25 years and over - Some college, no degree - (ACS 2018-2014)",American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
Percent of Population 25 years and over - Associate's degree (ACS 2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
Percent of Population 25 years and over - Bachelor's degree (ACS 2018-2014)),American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
Percent of Population 25 years and over - Graduate or professional degree (ACS 2018-2014),American Community Suvey (ACS) - 2018 - 5 year Estimate -Edcation Level
Percentage of Population who Died before age 75  (CountyHealthRanking) 2017,2017 County Health Rankings Georgia 
Avg Number of Poor Health Days (CountyhealthRanking 2017),2017 County Health Rankings Georgia 
Avg Number of Poor Mental Health Days (CountyHealthRanking 2017),2017 County Health Rankings Georgia 
Percentage of Live Births with Low Birthweight (CountyHealthranking 2017),2017 County Health Rankings Georgia 
Percent Adult Smokers (CountyHealthRanking 2017),2017 County Health Rankings Georgia 
Percent Adults Obese (County HealthRanking 2017),2017 County Health Rankings Georgia 
Percent Physically Inactive (CountyHealthrankings 2017),2017 County Health Rankings Georgia 
Percent with Access to Exercise (CountyHealthRankings 2017),2017 County Health Rankings Georgia 
Percent of Teenagers who Gave Birth (CountyHealthRankings 2017),2017 County Health Rankings Georgia 
Number of people per Primary Care Physican (CountyHealthRankings 2017),2017 County Health Rankings Georgia 
Number of Peopler per Dentist (CountyHealthRankings 2017),2017 County Health Rankings Georgia 
Number of People per Mental Health Provider (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent Diabetic (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent of Children living in Poverty (County Health Rankings 2017),2017 County Health Rankings Georgia 
Air Quality - Avg Daily PM2.5 (CountyHealthRankings 2017),2017 County Health Rankings Georgia 
Percent who Drive Alone to Work (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent of those who drive alone and have a long comute (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent with HIV (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent living in food insecurity (Country Health Rankings 2017),2017 County Health Rankings Georgia 
Percent with limited access to food (County Health Rankings 2017),2017 County Health Rankings Georgia 
Percent of Children eligible for Free or Reduced Price Lunch (County Health Rankings 2017),2017 County Health Rankings Georgia 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
