State,County,Longitude,Lat,HOUSEHOLDS WITH INTERNET ACCESS (2014-2018),HYPERTIONSION DIAGNOSIS IN ADULTS (2017),HEART DISEASE DIAGNOSIS IN ADULTS (2017),DIABETES DIAGNOSIS FOR ADULTS (2017),HIGH CHOLESTEROL DIAGNOSIS IN ADULTS (2017),"CANCER INCIDENCE PER 100,000 PEOPLE (2011-2015)",DEPRESSION DIAGNOSIS RATE (2017),HIV DIAGNOSIS RATE (2016),RELIGIOUS ADHERENCE RATE (2010),VOTING AGE POPULATION TURNOUT RATE IN 2016 GENERAL ELECTION,PERCENTAGE VOTE FOR A DEMOCRAT IN 2016 SENATE ELECTION ,PERCENTAGE VOTE FOR A REPUBLICAN IN 2016 SENATE ELECTION ,TOTAL POPULATION RATE (ACS 2014-2018),TOTAL POPULATION MALE (ACS 2014-2018),TOTAL POPULATION FEMALE (ACS 2014-2018),Under 5 Years - AGE RATE (ACS 2014-2018),5 to 9 Years - AGE RATE (ACS 2014-2018),10 to 14 Years - AGE RATE (ACS 2014-2018),15 to 17 Years- AGE RATE (ACS 2014-2018),18 to 24 Years - AGE RATE (ACS 2014-2018),25 to 34 Years- AGE RATE (ACS 2014-2018),35 to 44 Years - AGE RATE (ACS 2014-2018),45 to 54 Years- AGE RATE (ACS 2014-2018),55 to 64 Years - AGE RATE (ACS 2014-2018),65 to 74 Years - AGE RATE (ACS 2014-2018),75 to 84 Years- AGE RATE (ACS 2014-2018),85 Years and Over - AGE RATE (ACS 2014-2018),White Alone - RACE RATE (ACS 2014-2018),Black or African American Alone- RACE RATE (ACS 2014-2018),American Indian and Alaska Native Alone- RACE RATE (ACS 2014-2018),Asian Alone- RACE RATE (ACS 2014-2018),Native Hawaiian and Other Pacific Islander Alone- RACE RATE (ACS 2014-2018),Some Other Race Alone- RACE RATE (ACS 2014-2018),Two or More Races- RACE RATE (ACS 2014-2018),Population 16 Years and Over- EMPLOYMENT RATE (ACS 2014-2018),In Labor Force- EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- EMPLOYMENT RATE (ACS 2014-2018),Civilian:- EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- EMPLOYMENT RATE (ACS 2014-2018),Male Population 16 Years and Over- MALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- MALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- MALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- MALE EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- MALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- MALE EMPLOYMENT RATE (ACS 2014-2018),Female Population 16 Years and Over:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Employed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force 16 Years and Over: LABOR FORCE RATE (ACS 2014-2018),In Armed Forces: LABOR FORCE RATE (ACS 2014-2018),Civilian: LABOR FORCE RATE (ACS 2014-2018),Civilian Population in Labor Force 16 Years and Over:- LABOR FORCE RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Employed- EMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Unemployed- UNEMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Households:-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018),"Less than $10,000-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$10,000 to $14,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$15,000 to $19,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$20,000 to $24,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$25,000 to $29,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$30,000 to $34,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$35,000 to $39,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$40,000 to $44,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$45,000 to $49,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$50,000 to $59,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$60,000 to $74,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$75,000 to $99,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$100,000 to $124,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$125,000 to $149,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$150,000 to $199,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$200,000 or More-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",Total: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),No Health Insurance Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),With Health Insurance Coverage:: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Public Health Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Private Health Insurance: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Current Smokers (Persons 18 Years and Over),Drinking Adults (Persons 18 Years and Over),Persons with Limited Access to Healthy Foods,Persons with Access to Exercise Opportunities,Obese Persons (20 Years and Over),Physically Inactive Persons (20 Years and Over),Children Eligible for Free Lunch (Persons < 18 Years),Teen Births (Females 15 to 19 Years),Premature Deaths (Less than 75 Years),"Rate of limited-service restaurants per 100,000 people in 2017."
Georgia,Macon,-84.04234127,32.35207048,60.62,40,4.5,14.3,30.2,442.6,16.9,376.5,377.75,39.64,54.8,43.19,"21,498","9,999","11,499","1,459","1,578","1,452",991,"1,715","2,645","2,497","2,693","2,872","2,192","1,095",309,"11,746","8,692",0,97,195,407,361,"16,576","9,379",97,"9,282","8,513",769,"7,197","7,533","4,753",72,"4,681","4,418",263,"2,780","9,043","4,626",25,"4,601","4,095",506,"4,417","9,379",97,"9,282","9,282","8,513",769,"8,103",922,604,798,629,429,486,212,311,427,490,881,759,487,269,271,128,"21,143","2,827","18,316","9,202","11,798",18.3%,13.4%,4.4%,75.4%,35.0%,30.6%,61.5%,332,339,59.35
Georgia,Bibb,-83.70489165,32.80904227,75.31,36.9,4.1,12.4,29.7,492.5,18.2,783.7,603.41,54.62,53.59,43.51,"153,490","72,065","81,425","10,633","10,688","10,472","6,225","15,709","20,707","17,864","18,881","19,554","13,309","6,263","3,185","62,851","83,068",275,"3,019",63,"1,020","3,194","120,201","68,386",161,"68,225","62,200","6,025","51,815","54,924","32,430",98,"32,332","29,221","3,111","22,494","65,277","35,956",63,"35,893","32,979","2,914","29,321","68,386",161,"68,225","68,225","62,200","6,025","58,010","7,903","4,340","3,772","3,493","3,629","2,875","3,021","2,792","2,102","3,606","4,987","5,877","3,570","1,991","1,853","2,199","149,953","20,077","129,876","59,028","88,830",20.7%,13.6%,7.7%,76.8%,30.6%,27.1%,74.8%,"2,366","2,716",125.09
Georgia,Liberty,-81.49251135,31.82588896,85.86,29.9,2.8,9.6,24.8,440.9,18.4,380.5,271.48,35.9,53.4,42.59,"62,108","31,550","30,558","6,298","4,666","4,399","2,209","8,915","12,064","6,736","5,931","5,701","3,441","1,429",319,"28,881","25,503",285,"1,324",322,"2,039","3,754","46,086","31,182","5,565","25,617","22,691","2,926","14,904","23,372","17,829","4,991","12,838","11,419","1,419","5,543","22,714","13,353",574,"12,779","11,272","1,507","9,361","31,182","5,565","25,617","25,617","22,691","2,926","23,232","1,834","1,127","1,280","1,130","1,429","1,550","1,383","1,600","1,342","2,547","2,734","2,389","1,397",677,567,246,"56,139","6,992","49,147","17,474","38,467",19.6%,18.6%,17.8%,72.8%,33.8%,27.6%,N/A,"1,031",618,88.56
Georgia,Calhoun,-84.62725131,31.53169785,61.79,39.2,4.3,13.5,29.3,362,16.1,518.5,603.82,39.16,53.03,45.39,"6,428","3,875","2,553",206,324,401,219,534,"1,057","1,077",835,841,535,269,130,"2,180","3,919",0,34,0,214,81,"5,433","1,908",0,"1,908","1,622",286,"3,525","3,361",875,0,875,816,59,"2,486","2,072","1,033",0,"1,033",806,227,"1,039","1,908",0,"1,908","1,908","1,622",286,"1,853",278,179,187,89,139,133,100,138,99,132,153,96,63,12,18,37,"4,533",874,"3,659","2,019","2,040",25.1%,12.3%,9.3%,N/A,34.7%,28.4%,73.5%,82,97,N/A
Georgia,Muscogee,-84.87142262,32.50931999,80.81,34.7,3.8,12,28.5,470.2,19.3,605.6,620.73,46.65,52.68,43.78,"196,670","96,279","100,391","14,425","13,712","13,031","7,617","20,475","32,052","24,613","23,231","22,802","14,246","7,215","3,251","86,552","90,001",811,"4,817",329,"5,471","8,689","153,031","94,368","6,619","87,749","79,636","8,113","58,663","74,142","50,068","6,399","43,669","39,832","3,837","24,074","78,889","44,300",220,"44,080","39,804","4,276","34,589","94,368","6,619","87,749","87,749","79,636","8,113","72,924","7,847","4,420","4,336","4,546","4,444","3,778","3,154","3,671","3,067","6,454","6,680","8,353","4,459","2,746","2,500","2,469","186,589","24,061","162,528","68,588","119,163",18.7%,14.9%,12.7%,88.8%,32.1%,27.9%,N/A,"2,990","2,735",112.37
Georgia,Warren,-82.67795848,33.41146451,48.28,43.4,5.5,16,33.3,408.6,17.4,481.7,686.32,54.25,51.68,46.23,"5,346","2,475","2,871",282,356,333,157,294,666,568,712,859,651,347,121,"1,996","3,267",0,45,0,6,32,"4,335","2,354",0,"2,354","2,165",189,"1,981","2,000","1,188",0,"1,188","1,045",143,812,"2,335","1,166",0,"1,166","1,120",46,"1,169","2,354",0,"2,354","2,354","2,165",189,"2,332",311,308,126,154,155,120,215,133,48,248,152,133,104,36,51,38,"5,274",716,"4,558","2,458","2,702",18.8%,11.2%,0.8%,N/A,34.3%,33.0%,98.7%,73,106,N/A
Georgia,Stewart,-84.83208037,32.07996777,56.68,36.5,4.3,13.5,28.8,475.7,15.9,910.2,331.3,41.87,51.43,46.11,"6,042","3,894","2,148",212,198,201,186,691,"1,399",852,721,670,498,269,145,"1,590","3,269",14,148,0,874,147,"5,360","1,660",16,"1,644","1,498",146,"3,700","3,544",780,16,764,656,108,"2,764","1,816",880,0,880,842,38,936,"1,660",16,"1,644","1,644","1,498",146,"1,826",318,201,187,203,66,66,57,73,72,91,146,198,33,40,37,38,"4,000",656,"3,344","1,845","1,989",23.3%,13.1%,6.7%,1.2%,34.3%,29.5%,85.4%,89,105,N/A
Georgia,Douglas,-84.77026156,33.70291126,87.87,32.8,3.4,10.3,28.2,451.6,18.5,341.9,498.82,55.17,50.87,45.34,"141,840","67,726","74,114","8,958","10,286","11,214","6,932","13,207","17,636","20,143","21,418","16,461","10,104","4,169","1,312","67,261","65,482",168,"2,253",1,"3,632","3,043","109,399","72,917",19,"72,898","67,891","5,007","36,482","51,000","36,622",19,"36,603","34,238","2,365","14,378","58,399","36,295",0,"36,295","33,653","2,642","22,104","72,917",19,"72,898","72,898","67,891","5,007","48,968","2,624","2,017","1,814","2,175","2,297","2,316","2,020","2,138","2,284","3,845","6,237","6,770","5,122","2,902","2,964","1,443","140,657","18,539","122,118","40,476","94,256",17.3%,14.7%,10.1%,76.1%,33.9%,26.0%,52.0%,"1,206","1,448",74.73
Georgia,Clay,-84.97713865,31.62221166,69.13,45,6,16.8,34.9,392,17.5,704,608.55,53.67,49.61,48.4,"3,001","1,473","1,528",147,157,206,74,227,359,327,340,483,349,238,94,902,"2,036",0,41,0,16,6,"2,462","1,059",0,"1,059",876,183,"1,403","1,278",667,0,667,519,148,611,"1,184",392,0,392,357,35,792,"1,059",0,"1,059","1,059",876,183,"1,202",240,146,101,114,99,67,64,38,42,47,50,115,25,31,17,6,"2,946",696,"2,250","1,571","1,090",25.0%,8.9%,1.1%,28.1%,31.1%,30.7%,96.8%,36,59,N/A
Georgia,Jefferson,-82.41609057,33.05867328,57.09,40.4,4.9,14.6,31.5,432.4,17.6,396.7,655.52,57.3,49.5,48.68,"15,772","7,605","8,167","1,031","1,063","1,013",653,"1,352","1,966","1,760","2,060","2,128","1,610",826,310,"6,826","8,515",20,18,0,273,120,"12,445","6,374",0,"6,374","5,933",441,"6,071","5,870","3,251",0,"3,251","3,001",250,"2,619","6,575","3,123",0,"3,123","2,932",191,"3,452","6,374",0,"6,374","6,374","5,933",441,"5,609",831,508,471,368,367,297,370,198,140,511,483,482,267,188,74,54,"15,311","2,208","13,103","6,734","8,245",21.0%,11.5%,1.0%,40.0%,38.4%,29.7%,79.3%,279,321,82.42
