State,County,Longitude,Lat,HOUSEHOLDS WITH INTERNET ACCESS (2014-2018),HYPERTIONSION DIAGNOSIS IN ADULTS (2017),HEART DISEASE DIAGNOSIS IN ADULTS (2017),DIABETES DIAGNOSIS FOR ADULTS (2017),HIGH CHOLESTEROL DIAGNOSIS IN ADULTS (2017),"CANCER INCIDENCE PER 100,000 PEOPLE (2011-2015)",DEPRESSION DIAGNOSIS RATE (2017),HIV DIAGNOSIS RATE (2016),RELIGIOUS ADHERENCE RATE (2010),VOTING AGE POPULATION TURNOUT RATE IN 2016 GENERAL ELECTION,PERCENTAGE VOTE FOR A DEMOCRAT IN 2016 SENATE ELECTION ,PERCENTAGE VOTE FOR A REPUBLICAN IN 2016 SENATE ELECTION ,TOTAL POPULATION RATE (ACS 2014-2018),TOTAL POPULATION MALE (ACS 2014-2018),TOTAL POPULATION FEMALE (ACS 2014-2018),Under 5 Years - AGE RATE (ACS 2014-2018),5 to 9 Years - AGE RATE (ACS 2014-2018),10 to 14 Years - AGE RATE (ACS 2014-2018),15 to 17 Years- AGE RATE (ACS 2014-2018),18 to 24 Years - AGE RATE (ACS 2014-2018),25 to 34 Years- AGE RATE (ACS 2014-2018),35 to 44 Years - AGE RATE (ACS 2014-2018),45 to 54 Years- AGE RATE (ACS 2014-2018),55 to 64 Years - AGE RATE (ACS 2014-2018),65 to 74 Years - AGE RATE (ACS 2014-2018),75 to 84 Years- AGE RATE (ACS 2014-2018),85 Years and Over - AGE RATE (ACS 2014-2018),White Alone - RACE RATE (ACS 2014-2018),Black or African American Alone- RACE RATE (ACS 2014-2018),American Indian and Alaska Native Alone- RACE RATE (ACS 2014-2018),Asian Alone- RACE RATE (ACS 2014-2018),Native Hawaiian and Other Pacific Islander Alone- RACE RATE (ACS 2014-2018),Some Other Race Alone- RACE RATE (ACS 2014-2018),Two or More Races- RACE RATE (ACS 2014-2018),Population 16 Years and Over- EMPLOYMENT RATE (ACS 2014-2018),In Labor Force- EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- EMPLOYMENT RATE (ACS 2014-2018),Civilian:- EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- EMPLOYMENT RATE (ACS 2014-2018),Male Population 16 Years and Over- MALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- MALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- MALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- MALE EMPLOYMENT RATE (ACS 2014-2018),Employed- MALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- MALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- MALE EMPLOYMENT RATE (ACS 2014-2018),Female Population 16 Years and Over:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Armed Forces- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Civilian:- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Employed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Unemployed- FEMALE EMPLOYMENT RATE (ACS 2014-2018),Not in Labor Force- FEMALE EMPLOYMENT RATE (ACS 2014-2018),In Labor Force 16 Years and Over: LABOR FORCE RATE (ACS 2014-2018),In Armed Forces: LABOR FORCE RATE (ACS 2014-2018),Civilian: LABOR FORCE RATE (ACS 2014-2018),Civilian Population in Labor Force 16 Years and Over:- LABOR FORCE RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Employed- EMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Unemployed- UNEMPLOYMENT RATE FOR 16 YEARS AND OVER POPULATION (ACS 2014-2018),Households:-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018),"Less than $10,000-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$10,000 to $14,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$15,000 to $19,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$20,000 to $24,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$25,000 to $29,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$30,000 to $34,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$35,000 to $39,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$40,000 to $44,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$45,000 to $49,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$50,000 to $59,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$60,000 to $74,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$75,000 to $99,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$100,000 to $124,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$125,000 to $149,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$150,000 to $199,999-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)","$200,000 or More-- HOUSEHOLD INCOME IN 2018 INFLATION ADJUSTED DOLLARS (ACS 2014-2018)",Total: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),No Health Insurance Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),With Health Insurance Coverage:: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Public Health Coverage: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Private Health Insurance: RATE OF HEALTH INSURANCE COVERAGE (ACS 2014-2018),Current Smokers (Persons 18 Years and Over),Drinking Adults (Persons 18 Years and Over),Persons with Limited Access to Healthy Foods,Persons with Access to Exercise Opportunities,Obese Persons (20 Years and Over),Physically Inactive Persons (20 Years and Over),Children Eligible for Free Lunch (Persons < 18 Years),Teen Births (Females 15 to 19 Years),Premature Deaths (Less than 75 Years),"Rate of limited-service restaurants per 100,000 people in 2017."
Georgia,Chatham,-81.12489526,32.00043026,86.79,33.3,3.8,11,28.2,447.6,18.5,701.6,568.98,50.11,49.21,46.93,"287,049","138,403","148,646","18,665","17,039","17,147","9,617","32,484","47,915","34,952","33,673","34,154","24,770","11,575","5,058","151,228","114,130",778,"7,391",370,"4,495","8,657","231,090","150,275","2,834","147,441","135,574","11,867","80,815","109,514","75,916","2,411","73,505","68,109","5,396","33,598","121,576","74,359",423,"73,936","67,465","6,471","47,217","150,275","2,834","147,441","147,441","135,574","11,867","108,151","7,821","5,100","4,927","5,782","5,632","5,154","5,646","4,965","4,513","8,704","10,887","13,942","9,007","5,079","5,492","5,500","279,525","40,609","238,916","86,468","182,134",17.3%,17.4%,5.9%,85.4%,28.8%,24.1%,57.6%,"2,812","3,248",108.69
Georgia,Randolph,-84.75732369,31.76622818,72.29,43.3,5.4,16.1,33,405.3,17.5,505.4,543.33,51.07,48.87,49.56,"7,087","3,493","3,594",444,762,408,210,592,653,818,660,"1,041",710,432,357,"2,492","4,406",0,0,0,78,111,"5,321","2,611",0,"2,611","2,408",203,"2,710","2,555","1,326",0,"1,326","1,244",82,"1,229","2,766","1,285",0,"1,285","1,164",121,"1,481","2,611",0,"2,611","2,611","2,408",203,"2,616",337,354,196,161,196,305,210,172,54,110,115,205,24,96,44,37,"6,974","1,128","5,846","3,930","2,619",21.0%,10.8%,3.3%,32.9%,35.8%,34.5%,82.7%,96,132,70.55
Georgia,Henry,-84.1481466,33.4533428,91.03,32,3.3,10,27.9,469.7,18.1,324.2,525.6,60.85,47.53,48.74,"221,307","105,759","115,548","12,905","16,093","17,542","11,877","20,711","26,228","31,422","34,399","25,822","15,811","6,409","2,088","109,034","93,814",149,"7,422",9,"2,891","7,988","171,073","112,455",257,"112,198","104,676","7,522","58,618","80,344","55,926",181,"55,745","52,089","3,656","24,418","90,729","56,529",76,"56,453","52,587","3,866","34,200","112,455",257,"112,198","112,198","104,676","7,522","73,826","3,126","2,118","2,376","2,771","2,753","3,102","3,584","3,491","2,751","5,778","8,655","12,644","8,148","4,475","4,725","3,329","220,078","24,099","195,979","59,955","158,919",14.8%,15.4%,7.6%,86.0%,29.7%,23.7%,42.9%,"1,562","2,219",78.17
Georgia,Newton,-83.8454714,33.55514538,85.99,33.8,3.6,10.7,28.7,490.2,18.5,362,347.99,56.37,47.44,49.19,"106,497","50,598","55,899","6,895","8,126","8,064","5,322","10,099","12,981","14,509","15,225","12,158","8,334","3,428","1,356","54,326","46,869",323,"1,145",84,"1,002","2,748","81,432","51,012",145,"50,867","46,939","3,928","30,420","38,006","25,646",145,"25,501","23,526","1,975","12,360","43,426","25,366",0,"25,366","23,413","1,953","18,060","51,012",145,"50,867","50,867","46,939","3,928","36,626","2,595","1,649","2,135","1,901","1,587","2,321","1,475","1,656","1,871","2,909","3,832","5,052","3,239","1,661","1,577","1,166","105,564","12,962","92,602","38,071","65,104",17.2%,15.1%,9.3%,75.7%,33.7%,29.5%,59.0%,"1,181","1,288",63.85
Georgia,Terrell,-84.44069698,31.77527543,76.01,40.4,4.6,14.3,32.1,509.8,16.6,459.7,339.11,60.9,47.23,50.79,"8,859","4,228","4,631",553,685,471,355,716,"1,084",981,"1,126","1,266",948,448,226,"3,262","5,272",10,203,0,44,68,"7,100","3,676",31,"3,645","3,332",313,"3,424","3,307","1,802",0,"1,802","1,695",107,"1,505","3,793","1,874",31,"1,843","1,637",206,"1,919","3,676",31,"3,645","3,645","3,332",313,"3,247",394,258,247,244,237,187,124,173,139,218,249,408,206,53,42,68,"8,502","1,555","6,947","4,051","3,802",20.7%,11.4%,0.4%,0.6%,34.5%,30.5%,78.9%,188,154,45.15
Georgia,Burke,-81.99928721,33.05917989,69.16,37.3,4.3,13.1,30.8,454.8,17.5,441.3,483.4,55.85,46.67,51.03,"22,550","10,697","11,853","1,646","1,454","1,816",975,"1,954","2,810","2,502","2,913","3,181","2,086",932,281,"10,934","10,958",5,68,0,351,234,"17,390","9,540",35,"9,505","9,028",477,"7,850","8,085","4,943",35,"4,908","4,637",271,"3,142","9,305","4,597",0,"4,597","4,391",206,"4,708","9,540",35,"9,505","9,505","9,028",477,"8,184",827,661,549,418,475,500,348,575,411,306,668,"1,117",675,255,264,135,"22,324","3,032","19,292","9,368","12,028",20.8%,12.9%,5.5%,46.0%,32.3%,27.8%,71.3%,380,400,44.35
Georgia,Sumter,-84.19821492,32.03650571,69.54,36.3,4.1,12.1,29,453.2,18,462.7,523.36,47.16,46.48,51.64,"30,352","14,359","15,993","1,881","2,322","1,694","1,160","4,235","3,674","3,266","3,581","3,701","2,881","1,264",693,"12,924","15,974",23,359,0,582,490,"24,015","13,058",16,"13,042","11,841","1,201","10,957","11,096","6,659",16,"6,643","6,177",466,"4,437","12,919","6,399",0,"6,399","5,664",735,"6,520","13,058",16,"13,042","13,042","11,841","1,201","11,758","1,511",853,"1,036",758,740,766,673,624,372,922,975,970,649,466,261,182,"29,449","3,666","25,783","12,174","16,549",20.3%,12.4%,9.4%,74.4%,34.0%,28.5%,75.5%,563,458,72.48
Georgia,Washington,-82.79357039,32.96711864,67.9,39.3,4.7,13.9,30.8,459,17.5,281.3,419.46,53.27,46.19,52.39,"20,461","10,361","10,100","1,158","1,230","1,335",827,"1,775","2,590","2,506","2,795","2,821","2,000","1,068",356,"9,123","10,845",10,124,0,106,253,"16,439","8,117",17,"8,100","7,504",596,"8,322","8,270","3,918",17,"3,901","3,659",242,"4,352","8,169","4,199",0,"4,199","3,845",354,"3,970","8,117",17,"8,100","8,100","7,504",596,"7,359",850,687,594,416,328,480,410,358,354,584,447,"1,046",364,194,168,79,"18,681","2,235","16,446","8,704","10,377",19.4%,13.0%,15.7%,38.7%,34.5%,30.7%,56.1%,285,280,68.42
Georgia,Gwinnett,-84.02137802,33.96044201,89.92,28.5,2.9,9.4,27.1,433,16.8,351.5,455.36,50.31,45.35,49.67,"902,298","441,051","461,247","61,066","66,523","75,653","44,209","82,008","120,126","133,771","134,623","100,877","54,650","22,158","6,634","448,155","245,748","3,509","102,858",269,"74,969","26,790","684,606","473,566",514,"473,052","450,670","22,382","211,040","330,656","250,605",481,"250,124","238,920","11,204","80,051","353,950","222,961",33,"222,928","211,750","11,178","130,989","473,566",514,"473,052","473,052","450,670","22,382","288,724","12,287","8,764","8,354","10,572","12,823","12,732","12,332","13,064","11,429","24,995","30,846","42,594","28,644","19,510","20,881","18,897","897,497","152,773","744,724","213,963","591,588",13.7%,16.1%,7.7%,79.6%,27.4%,21.3%,47.4%,"5,365","5,488",93.87
Georgia,Baldwin,-83.24701748,33.06882326,75.62,33.3,3.8,10.8,27.7,459.6,18.2,308.2,311.11,44.23,45.1,51.81,"45,286","22,759","22,527","2,209","2,647","2,408","1,434","8,528","5,197","5,060","5,336","5,691","4,102","1,983",691,"24,371","19,060",140,690,0,352,673,"37,591","19,637",93,"19,544","17,708","1,836","17,954","18,941","9,842",93,"9,749","8,897",852,"9,099","18,650","9,795",0,"9,795","8,811",984,"8,855","19,637",93,"19,544","19,544","17,708","1,836","16,122","2,357","1,192","1,365",895,"1,066",563,716,657,591,"1,317","1,578","1,723","1,085",323,425,269,"43,444","5,048","38,396","14,299","29,232",19.3%,14.4%,8.6%,66.9%,33.9%,24.7%,73.7%,445,596,97.16
Georgia,Twiggs,-83.43078662,32.67435595,57.64,39.7,4.9,14.2,33.7,452.7,17.4,240.5,487.75,61.72,44.43,53.02,"8,284","4,068","4,216",435,484,425,252,623,871,940,"1,090","1,409","1,079",590,86,"4,605","3,510",0,9,0,0,160,"6,863","2,856",12,"2,844","2,647",197,"4,007","3,307","1,497",12,"1,485","1,395",90,"1,810","3,556","1,359",0,"1,359","1,252",107,"2,197","2,856",12,"2,844","2,844","2,647",197,"3,031",453,355,182,173,214,239,127,204,91,120,262,275,72,149,89,26,"8,207","1,160","7,047","3,564","4,565",20.9%,11.9%,0.8%,14.3%,30.7%,31.8%,77.1%,81,149,N/A
Georgia,Peach,-83.82937,32.56934316,76.27,33.6,3.7,10.9,27.8,519.8,17.8,422.1,475.65,51.74,43.68,53.15,"26,966","12,952","14,014","1,424","1,739","1,690",943,"3,755","3,322","3,021","3,370","3,632","2,476","1,083",511,"13,152","12,047",32,271,31,"1,082",351,"21,830","11,696",111,"11,585","10,524","1,061","10,134","10,425","6,180",96,"6,084","5,527",557,"4,245","11,405","5,516",15,"5,501","4,997",504,"5,889","11,696",111,"11,585","11,585","10,524","1,061","10,103",885,778,713,785,695,507,430,560,322,"1,022",668,964,779,343,414,238,"26,829","3,633","23,196","11,117","16,368",18.5%,14.0%,8.9%,74.1%,34.8%,28.1%,68.6%,381,479,85.29
Georgia,Quitman,-85.01773177,31.86728114,59.1,43.7,5.9,15.7,36.1,532.3,17,538.5,534.02,54.49,41.89,54.93,"2,276","1,081","1,195",126,90,137,68,122,340,186,216,383,298,241,69,882,"1,192",0,138,5,0,59,"1,892",899,0,899,799,100,993,931,471,0,471,411,60,460,961,428,0,428,388,40,533,899,0,899,899,799,100,934,86,155,82,89,55,50,25,64,20,103,99,42,26,15,20,3,"2,276",496,"1,780","1,037","1,125",20.1%,10.0%,23.3%,30.3%,32.6%,30.3%,95.7%,33,57,N/A
Georgia,Cobb,-84.5761255,33.94243204,91.85,30,3.3,9.3,27.8,459.9,18.1,459.6,544.01,58.99,41.81,52.87,"745,057","360,270","384,787","47,657","51,257","50,152","31,141","67,658","107,927","107,304","108,091","88,753","54,541","22,289","8,287","441,978","203,874","1,737","39,150",472,"35,405","22,441","585,321","411,153",813,"410,340","389,803","20,537","174,168","279,305","214,095",569,"213,526","203,186","10,340","65,210","306,016","197,058",244,"196,814","186,617","10,197","108,958","411,153",813,"410,340","410,340","389,803","20,537","277,222","11,763","6,372","8,226","9,939","10,986","10,764","11,116","10,777","10,663","20,184","27,540","37,436","28,940","19,955","25,262","27,299","740,236","96,187","644,049","161,605","545,106",13.9%,17.4%,8.6%,88.8%,22.4%,18.3%,40.9%,"4,261","5,563",93.68
Georgia,Early,-84.90255207,31.32155345,57.67,40.3,5.2,14.3,32.3,460.6,18,259.7,798.6,61.79,41.67,55.84,"10,348","4,791","5,557",664,771,659,484,829,"1,109","1,151","1,374","1,379","1,085",554,289,"4,735","5,315",9,57,0,151,81,"8,155","4,069",0,"4,069","3,761",308,"4,086","3,716","2,024",0,"2,024","1,892",132,"1,692","4,439","2,045",0,"2,045","1,869",176,"2,394","4,069",0,"4,069","4,069","3,761",308,"4,082",593,419,359,422,201,225,154,184,181,283,324,340,211,124,54,8,"10,205","1,599","8,606","4,623","4,903",19.5%,12.4%,5.5%,58.1%,30.6%,31.2%,70.2%,191,217,67.65
Georgia,Wilkinson,-83.17140684,32.80291082,62.37,38.9,5,13.7,32.4,479.9,18.4,225,476.21,61.18,40.8,57.21,"9,078","4,349","4,729",506,566,656,359,704,971,"1,102","1,191","1,369",943,464,247,"5,355","3,567",10,0,6,45,95,"7,196","3,511",0,"3,511","3,258",253,"3,685","3,371","1,770",0,"1,770","1,601",169,"1,601","3,825","1,741",0,"1,741","1,657",84,"2,084","3,511",0,"3,511","3,511","3,258",253,"3,237",414,241,307,209,172,204,144,95,160,245,332,336,161,94,81,42,"8,990",888,"8,102","3,706","5,525",18.3%,13.4%,10.6%,24.8%,33.6%,29.8%,74.9%,106,179,N/A
Georgia,Dooly,-83.79746561,32.15630737,62.95,39.4,4.7,14,31.2,355.2,17.4,320.3,375.59,34.36,40.79,57.23,"13,905","7,529","6,376",563,665,803,503,"1,284","1,552","1,909","1,953","2,116","1,527",733,297,"6,277","6,824",8,15,0,538,243,"11,726","5,757",0,"5,757","5,038",719,"5,969","6,448","3,287",0,"3,287","2,913",374,"3,161","5,278","2,470",0,"2,470","2,125",345,"2,808","5,757",0,"5,757","5,757","5,038",719,"4,861",462,475,489,353,383,231,227,94,269,419,465,331,359,175,94,35,"12,588","2,037","10,551","5,201","6,915",21.5%,12.5%,15.4%,31.2%,34.1%,31.9%,86.4%,166,181,43.15
Georgia,Mitchell,-84.19381821,31.22483255,67.6,37.7,4.5,13.1,30.1,468.4,17.7,427.8,522.34,45.67,40.52,57.75,"22,432","11,683","10,749","1,357","1,413","1,584",858,"1,909","2,974","2,976","2,984","2,860","2,034","1,093",390,"11,106","10,461",48,101,8,187,521,"17,722","9,524",0,"9,524","8,216","1,308","8,198","9,260","4,835",0,"4,835","4,190",645,"4,425","8,462","4,689",0,"4,689","4,026",663,"3,773","9,524",0,"9,524","9,524","8,216","1,308","7,889",909,496,649,626,656,482,416,468,497,594,661,627,441,124,71,172,"20,204","3,570","16,634","8,789","10,055",21.1%,12.8%,9.6%,42.3%,30.8%,30.3%,70.9%,382,332,71.33
Georgia,Baker,-84.44218806,31.32669878,51.62,40.1,4.9,14.4,32.9,453.4,17.1,432.3,400.75,57.12,40.14,57.67,"3,189","1,521","1,668",139,171,157,163,244,371,293,458,455,507,177,54,"1,810","1,236",7,95,20,21,0,"2,633","1,303",0,"1,303","1,251",52,"1,330","1,235",703,0,703,660,43,532,"1,398",600,0,600,591,9,798,"1,303",0,"1,303","1,303","1,251",52,"1,385",240,83,58,69,127,98,28,67,59,147,147,95,57,29,72,9,"3,189",445,"2,744","1,406","1,606",17.8%,12.8%,43.5%,N/A,32.3%,28.6%,99.1%,35,35,N/A
Georgia,Chattahoochee,-84.78809239,32.34341231,80.82,20.3,1.8,5.5,18.3,499.8,17.8,107.5,90.8,15.81,40,55.12,"10,767","7,172","3,595",892,692,557,176,"3,572","2,335","1,066",611,457,269,124,16,"7,510","2,263",37,391,35,193,338,"8,538","6,849","4,441","2,408","2,177",231,"1,689","6,071","5,516","4,216","1,300","1,224",76,555,"2,467","1,333",225,"1,108",953,155,"1,134","6,849","4,441","2,408","2,408","2,177",231,"2,550",158,118,160,125,138,160,163,203,123,247,287,284,170,72,85,57,"6,038",385,"5,653","1,642","4,568",18.4%,24.2%,21.7%,45.3%,28.0%,27.5%,N/A,67,74,27.86
Georgia,Decatur,-84.57619536,30.87967778,55.88,36.9,4.4,12.2,30.9,394.2,18.2,666.4,623.09,50.92,37.49,59.42,"26,833","12,907","13,926","1,802","1,666","2,005","1,124","2,439","3,426","3,170","3,556","3,424","2,411","1,432",378,"14,060","11,165",19,90,0,"1,295",204,"20,981","10,286",86,"10,200","9,645",555,"10,695","9,970","5,400",73,"5,327","5,130",197,"4,570","11,011","4,886",13,"4,873","4,515",358,"6,125","10,286",86,"10,200","10,200","9,645",555,"10,153","1,645",697,841,532,522,475,476,581,506,759,890,920,422,323,313,251,"25,633","4,886","20,747","11,165","11,718",19.5%,12.5%,6.8%,64.7%,30.9%,28.0%,67.3%,530,451,89.44
Georgia,Lowndes,-83.27056716,30.83568832,76.29,30.5,3.4,9.7,26.1,450.4,19.1,581.2,527.94,43.35,37.15,59.05,"114,582","55,959","58,623","8,142","8,131","6,950","4,229","19,878","17,375","12,664","12,410","11,605","7,838","3,912","1,448","66,261","41,718",335,"2,114",91,"1,764","2,299","89,905","53,261","2,719","50,542","46,705","3,837","36,644","43,332","27,790","2,207","25,583","23,831","1,752","15,542","46,573","25,471",512,"24,959","22,874","2,085","21,102","53,261","2,719","50,542","50,542","46,705","3,837","40,472","6,216","2,651","2,041","2,623","2,309","2,042","1,824","1,825","1,786","2,727","3,710","4,090","2,642","1,792","1,097","1,097","109,349","17,263","92,086","33,787","72,289",18.8%,15.8%,8.9%,72.0%,28.3%,28.5%,54.0%,"1,550","1,313",89.02
Georgia,Meriwether,-84.68859732,33.04163534,63.06,38.5,4.8,13.5,32.9,476.3,17.8,258.7,453.85,55.95,37.03,59.8,"21,113","10,221","10,892","1,250","1,182","1,353",832,"1,735","2,446","2,301","2,837","3,095","2,475","1,262",345,"12,062","8,169",30,132,0,297,423,"17,052","8,649",3,"8,646","8,133",513,"8,403","8,103","4,822",0,"4,822","4,431",391,"3,281","8,949","3,827",3,"3,824","3,702",122,"5,122","8,649",3,"8,646","8,646","8,133",513,"8,151",991,671,659,691,321,596,475,388,277,650,749,868,294,229,132,160,"21,024","3,004","18,020","8,742","11,857",18.0%,13.0%,0.8%,24.5%,35.2%,32.6%,69.5%,257,387,42.63
Georgia,Wilkes,-82.74286107,33.78290391,48.39,41.5,5.6,15.1,33.7,477.3,17.9,288.5,544.04,58.24,36.92,60.69,"9,884","4,770","5,114",558,539,561,401,858,915,"1,034","1,309","1,457","1,290",612,350,"5,284","4,198",0,85,0,242,75,"8,063","4,255",38,"4,217","4,035",182,"3,808","3,819","2,209",38,"2,171","2,100",71,"1,610","4,244","2,046",0,"2,046","1,935",111,"2,198","4,255",38,"4,217","4,217","4,035",182,"3,879",309,421,466,291,183,265,198,131,100,376,341,303,272,95,62,66,"9,771","1,522","8,249","4,381","5,288",18.4%,12.0%,16.6%,61.6%,32.5%,30.4%,65.2%,95,219,60.7
Georgia,Webster,-84.54742852,32.04066113,62.76,40.1,5.2,14.4,32.6,288.9,18.4,N/A,366.56,53.94,36.82,61.75,"2,613","1,254","1,359",60,197,267,101,184,233,263,403,358,388,137,22,"1,327","1,045",5,0,0,217,19,"2,043","1,082",0,"1,082","1,058",24,961,952,548,0,548,548,0,404,"1,091",534,0,534,510,24,557,"1,082",0,"1,082","1,082","1,058",24,"1,101",100,142,66,144,28,56,71,60,72,46,83,113,65,5,36,14,"2,608",302,"2,306","1,049","1,737",18.2%,12.4%,1.2%,N/A,32.0%,30.8%,62.9%,18,N/A,N/A
Georgia,Brooks,-83.58303423,30.83922642,73.35,37.8,4.8,13.2,32.6,473.1,17.7,408.8,456.32,51.86,36.41,60.31,"15,622","7,608","8,014",890,876,988,669,"1,103","1,826","1,821","2,183","2,287","1,801","1,005",173,"9,618","5,358",0,128,7,133,378,"12,647","6,468",10,"6,458","5,800",658,"6,179","6,004","3,554",10,"3,544","3,227",317,"2,450","6,643","2,914",0,"2,914","2,573",341,"3,729","6,468",10,"6,458","6,458","5,800",658,"6,350",949,415,569,315,479,464,303,342,194,276,608,601,321,201,174,139,"15,542","3,232","12,310","6,623","7,771",18.8%,13.1%,3.9%,51.5%,35.4%,29.1%,74.9%,227,239,51.21
Georgia,Screven,-81.60779441,32.74976524,71.6,38.7,5,13.6,31.8,481,18.2,353,579.32,51.93,36.36,61.58,"13,990","6,804","7,186",875,862,742,570,"1,298","1,584","1,643","1,784","2,160","1,526",683,263,"7,775","5,868",31,100,0,95,121,"11,284","5,936",28,"5,908","5,539",369,"5,348","5,413","3,135",28,"3,107","2,965",142,"2,278","5,871","2,801",0,"2,801","2,574",227,"3,070","5,936",28,"5,908","5,908","5,539",369,"5,257",504,545,361,406,269,368,354,133,135,308,649,546,298,108,167,106,"13,598","1,911","11,687","5,942","7,336",18.6%,13.1%,9.2%,44.5%,35.7%,31.8%,N/A,226,247,50.04
Georgia,McDuffie,-82.48252774,33.47851918,61.8,37,4.5,12.8,31.7,450.2,17.9,228,623.73,57.97,35.79,61.73,"28,900","14,508","14,392","1,688","2,056","1,767","1,157","2,387","3,346","3,627","4,185","4,127","2,842","1,260",458,"24,483","2,534",82,347,0,890,564,"22,852","13,698",12,"13,686","12,522","1,164","9,154","11,192","7,034",12,"7,022","6,420",602,"4,158","11,660","6,664",0,"6,664","6,102",562,"4,996","13,698",12,"13,686","13,686","12,522","1,164","10,712",726,644,537,685,572,652,432,567,375,916,"1,178","1,554",733,545,325,271,"28,700","3,940","24,760","10,693","17,807",17.2%,15.5%,1.4%,32.4%,32.4%,28.3%,54.1%,318,448,93.03
Georgia,Marion,-84.52733571,32.3483402,63.58,37.1,4.6,13.1,32.5,306.7,18.1,180.1,341.34,47.79,34.96,62.44,"13,480","7,342","6,138",685,772,670,503,"1,293","1,891","1,744","1,780","1,988","1,408",522,224,"4,705","8,171",27,63,1,342,171,"11,155","5,021",5,"5,016","4,416",600,"6,134","6,202","2,669",5,"2,664","2,330",334,"3,533","4,953","2,352",0,"2,352","2,086",266,"2,601","5,021",5,"5,016","5,016","4,416",600,"4,673",787,510,354,208,288,315,349,221,285,368,327,297,165,83,84,32,"11,514","2,319","9,195","5,131","5,429",21.3%,12.5%,9.0%,41.3%,34.6%,32.3%,69.8%,177,243,58.93
Georgia,Taylor,-84.25077141,32.55792548,63.92,38.6,4.9,13.6,31.9,413.6,18.7,412.5,460.81,51.95,34.68,62.75,"8,193","3,946","4,247",404,320,654,316,836,742,924,"1,206","1,258",895,446,192,"4,692","3,150",0,124,0,180,47,"6,705","3,383",0,"3,383","2,987",396,"3,322","3,140","1,591",0,"1,591","1,433",158,"1,549","3,565","1,792",0,"1,792","1,554",238,"1,773","3,383",0,"3,383","3,383","2,987",396,"3,437",426,359,209,322,274,174,225,179,122,252,292,252,192,59,60,40,"8,075","1,532","6,543","3,350","4,217",19.6%,12.9%,5.0%,32.4%,30.5%,31.8%,67.1%,141,153,61.03
